date,prcp,snowdepth,snow
20160606,0,0,0
20160607,0,0,0
20160608,0.45,0,0
20160609,0,0,0
20160610,0,0,0
20160611,0,0,0
20160612,0,0,0
20160613,0,0,0
20160614,0,0,0
20160615,0,0,0
20160616,0.22,0,0
20160617,0,0,0
20160618,0,0,0
20160619,0,0,0
20160620,0,0,0
20160621,0,0,0
20160622,0,0,0
20160623,0,0,0
20160624,0,0,0
20160625,0,0,0
20160626,0,0,0
20160627,0.45,0,0
20160628,0.12,0,0
20160629,0.01,0,0
20160630,0,0,0
20160701,0.83,0,0
20160702,0,0,0
20160703,0,0,0
20160704,0.49,0,0
20160705,0.66,0,0
20160706,0,0,0
20160707,0.04,0,0
20160708,0.08,0,0
20160709,0.53,0,0
20160710,0,0,0
20160711,0,0,0
20160712,0,0,0
20160713,0,0,0
20160714,0.62,0,0
20160715,0,0,0
20160716,0,0,0
20160717,0,0,0
20160718,0.35,0,0
20160719,0,0,0
20160720,0,0,0
20160721,0,0,0
20160722,0,0,0
20160723,0,0,0
20160724,0,0,0
20160725,1,0,0
20160726,0,0,0
20160727,0,0,0
20160728,0,0,0
20160729,1.09,0,0
20160730,0.25,0,0
20160731,1.08,0,0
20160801,0,0,0
20160802,0,0,0
20160803,0,0,0
20160804,0,0,0
20160805,0,0,0
20160806,0.05,0,0
20160807,0,0,0
20160808,0,0,0
20160809,0,0,0
20160810,0.09,0,0
20160811,0.15,0,0
20160812,0.32,0,0
20160813,0,0,0
20160814,0.06,0,0
20160815,0,0,0
20160816,0.11,0,0
20160817,0.01,0,0
20160818,0.03,0,0
20160819,0.01,0,0
20160820,0.82,0,0
20160821,0.31,0,0
20160822,0,0,0
20160823,0,0,0
20160824,0,0,0
20160825,0.01,0,0
20160826,0,0,0
20160827,0,0,0
20160828,0,0,0
20160829,0,0,0
20160830,0,0,0
20160831,0,0,0
20160901,0.5,0,0
20160902,0,0,0
20160903,0,0,0
20160904,0,0,0
20160905,0,0,0
20160906,0,0,0
20160907,0,0,0
20160908,0,0,0
20160909,0.22,0,0
20160910,0,0,0
20160911,0,0,0
20160912,0,0,0
20160913,0,0,0
20160914,0.56,0,0
20160915,0,0,0
20160916,0,0,0
20160917,0,0,0
20160918,0,0,0
20160919,0.68,0,0
20160920,0,0,0
20160921,0,0,0
20160922,0,0,0
20160923,0.01,0,0
20160924,0.2,0,0
20160925,0,0,0
20160926,0,0,0
20160927,0.22,0,0
20160928,0,0,0
20160929,0,0,0
20160930,0.4,0,0
20161001,0,0,0
20161002,0,0,0
20161003,0,0,0
20161004,0,0,0
20161005,0,0,0
20161006,0,0,0
20161007,0,0,0
20161008,0.23,0,0
20161009,0.55,0,0
20161010,0,0,0
20161011,0,0,0
20161012,0,0,0
